Age,CapitalGain,CapitalLoss,EducationNumber,HoursPerWeek,MaritalStatus,NativeCountry,Occupation,Relationship,Sex,WorkClass,Class
D,F,F,F,D,E,B,E,E,B,E,T
39.0,2174.0,0.0,13.0,40.0,5,0,1,1,0,6,0
50.0,0.0,0.0,13.0,13.0,3,0,4,0,0,5,0
38.0,0.0,0.0,9.0,40.0,1,0,6,1,0,3,0
53.0,0.0,0.0,7.0,40.0,3,0,6,0,0,3,0
28.0,0.0,0.0,13.0,40.0,3,1,10,5,1,3,0
37.0,0.0,0.0,14.0,40.0,3,0,4,5,1,3,0
49.0,0.0,0.0,5.0,16.0,4,1,8,1,1,3,0
52.0,0.0,0.0,9.0,45.0,3,0,4,0,0,5,1
31.0,14084.0,0.0,14.0,50.0,5,0,10,1,1,3,1
42.0,5178.0,0.0,13.0,40.0,3,0,4,0,0,3,1
37.0,0.0,0.0,10.0,80.0,3,0,4,0,0,3,1
30.0,0.0,0.0,13.0,40.0,3,1,10,0,0,6,1
23.0,0.0,0.0,13.0,30.0,5,0,1,3,1,3,0
32.0,0.0,0.0,12.0,50.0,5,0,12,1,0,3,0
34.0,0.0,0.0,4.0,45.0,3,1,14,0,0,3,0
25.0,0.0,0.0,9.0,35.0,5,0,5,3,0,5,0
32.0,0.0,0.0,9.0,40.0,5,0,7,4,0,3,0
38.0,0.0,0.0,7.0,50.0,3,0,12,0,0,3,0
43.0,0.0,0.0,14.0,45.0,1,0,4,4,1,5,1
40.0,0.0,0.0,16.0,60.0,3,0,10,0,0,3,1
54.0,0.0,0.0,9.0,20.0,6,0,8,4,1,3,0
35.0,0.0,0.0,5.0,40.0,3,0,5,0,0,1,0
43.0,0.0,2042.0,7.0,40.0,3,0,14,0,0,3,0
59.0,0.0,0.0,9.0,40.0,1,0,13,4,1,3,0
56.0,0.0,0.0,13.0,40.0,3,0,13,0,0,2,1
19.0,0.0,0.0,9.0,40.0,5,0,3,3,0,3,0
39.0,0.0,0.0,9.0,80.0,1,0,4,1,0,3,0
49.0,0.0,0.0,9.0,40.0,3,0,3,0,0,3,0
23.0,0.0,0.0,12.0,52.0,5,0,11,1,0,2,0
20.0,0.0,0.0,10.0,44.0,5,0,12,3,0,3,0
45.0,0.0,1408.0,13.0,40.0,1,0,4,3,0,3,0
30.0,0.0,0.0,10.0,40.0,3,0,1,3,0,1,0
22.0,0.0,0.0,10.0,15.0,3,0,8,0,0,6,0
48.0,0.0,0.0,7.0,40.0,5,1,7,4,0,3,0
21.0,0.0,0.0,10.0,40.0,5,0,7,3,0,3,0
19.0,0.0,0.0,9.0,25.0,2,0,1,5,1,3,0
48.0,0.0,0.0,12.0,40.0,3,0,10,0,0,5,0
31.0,0.0,0.0,5.0,43.0,3,0,7,0,0,3,0
53.0,0.0,0.0,13.0,40.0,3,0,10,0,0,5,0
24.0,0.0,0.0,13.0,50.0,3,0,13,0,0,3,0
49.0,0.0,0.0,9.0,40.0,6,0,1,4,1,3,0
25.0,0.0,0.0,9.0,35.0,5,0,6,1,0,3,0
57.0,0.0,0.0,13.0,40.0,3,0,10,0,0,1,1
53.0,0.0,0.0,9.0,38.0,3,0,7,0,0,3,0
